PatronID,DrinkName,ExecutionTime,ArrivalTime,StartTime,CompletionTime,WaitingTime,TurnaroundTime,ResponseTime,SwitchCount
0,White Wine,5,1,1,32,0,31,0,1
1,Cider,5,50,50,81,0,31,0,1
2,Cider,5,100,100,131,0,31,0,1
1,Tequila shot,20,181,201,221,20,40,20,0
4,White Wine,5,200,277,435,77,235,77,1
2,Red Wine,5,231,328,496,97,265,97,1
6,Beer,5,300,440,659,140,359,140,1
1,Martini,20,225,303,684,78,459,78,2
7,Beer,5,350,502,720,152,370,152,1
0,Bloody Mary,10,182,227,736,45,554,45,3
5,Martini,20,250,379,787,129,537,129,2
8,Gin and Tonic,20,400,578,838,178,438,178,1
12,Tequila shot,20,600,843,864,243,264,243,0
11,Beer,5,550,741,1078,191,528,191,1
4,Gin and Tonic,20,586,792,1155,206,569,206,1
14,White Wine,5,700,971,1473,271,773,271,1
1,Cider,5,795,1084,1637,289,842,289,1
7,Gin and Tonic,20,820,1160,1739,340,919,340,1
5,Gin and Tonic,20,897,1288,1969,391,1072,391,1
9,Mojito,15,450,629,2066,179,1616,179,3
8,Gin and Tonic,20,948,1391,2117,443,1169,443,1
19,White Wine,5,950,1417,2127,467,1177,467,1
20,White Wine,5,1000,1479,2189,479,1189,479,1
10,Margarita,15,500,690,2210,190,1710,190,3
21,Beer,5,1050,1555,2246,505,1196,505,1
22,Beer,5,1100,1606,2308,506,1208,506,1
16,Martini,20,800,1109,2333,309,1533,309,2
0,Draft Beer,10,886,1237,2553,351,1667,351,2
29,White Wine,5,1450,2133,2767,683,1317,683,1
6,Margarita,15,759,1048,2889,289,2130,289,3
20,Vodka shot,20,2340,2971,2991,631,651,631,0
17,Bloody Mary,10,850,1186,3185,336,2335,336,3
7,White Wine,5,1849,2517,3247,668,1398,668,1
3,B52,20,150,150,3298,0,3148,0,9
18,Bloody Mary,10,900,1314,3364,414,2464,414,3
27,Martini,20,1350,1999,3389,649,2039,649,2
2,Pina Colada,20,647,894,3414,247,2767,247,4
28,Draft Beer,10,1400,2071,3455,671,2055,671,2
15,Pina Colada,20,750,1022,3557,272,2807,272,4
19,White Wine,5,2278,2895,3567,617,1289,617,1
21,White Wine,5,2346,2996,3705,650,1359,650,1
23,Mojito,15,1150,1668,3725,518,2575,518,3
1,Draft Beer,10,1737,2390,3791,653,2054,653,2
12,Pina Colada,20,867,1212,3868,345,3001,345,4
25,Cosmopolitan,5,1250,1821,3878,571,2628,571,3
26,Bloody Mary,10,1300,1923,3944,623,2644,623,3
0,Red Wine,5,2653,3328,3980,675,1327,675,1
7,Vodka shot,20,3397,3985,4005,588,608,588,0
5,Draft Beer,10,2079,2711,4020,632,1941,632,2
29,Gin and Tonic,20,2918,3572,4224,654,1306,654,1
10,Martini,20,2290,2920,4249,630,1959,630,2
14,Cosmopolitan,5,1624,2277,4260,653,2636,653,3
6,Cider,5,2970,3648,4270,678,1300,678,1
15,Tequila shot,20,3677,4275,4296,598,619,598,0
11,Pina Colada,20,1179,1693,4372,514,3193,514,4
24,Pina Colada,20,1200,1744,4422,544,3222,544,4
17,Beer,5,3336,3949,4585,613,1249,613,1
28,Red Wine,5,3556,4178,4876,622,1320,622,1
20,Draft Beer,10,2994,3674,4942,680,1948,680,2
29,Tequila shot,20,4334,4948,4968,614,634,614,0
