PatronID,DrinkName,ExecutionTime,ArrivalTime,StartTime,CompletionTime,WaitingTime,TurnaroundTime,ResponseTime,SwitchCount
0,White Wine,5,1,1,32,0,31,0,1
1,Cider,5,51,51,81,0,30,0,1
2,Cider,5,101,101,132,0,31,0,1
1,Tequila shot,20,182,202,222,20,40,20,0
4,White Wine,5,201,278,436,77,235,77,1
2,Red Wine,5,232,329,497,97,265,97,1
6,Beer,5,301,442,660,141,359,141,1
1,Martini,20,225,304,686,79,461,79,2
7,Beer,5,351,503,722,152,371,152,1
0,Bloody Mary,10,182,227,737,45,555,45,3
5,Martini,20,251,380,788,129,537,129,2
8,Gin and Tonic,20,401,579,839,178,438,178,1
12,Tequila shot,20,601,844,865,243,264,243,0
11,Beer,5,551,742,1079,191,528,191,1
4,Gin and Tonic,20,587,793,1156,206,569,206,1
14,White Wine,5,701,972,1472,271,771,271,1
1,Cider,5,796,1084,1635,288,839,288,1
7,Gin and Tonic,20,822,1161,1736,339,914,339,1
5,Gin and Tonic,20,898,1289,1963,391,1065,391,1
9,Mojito,15,451,630,2060,179,1609,179,3
8,Gin and Tonic,20,950,1391,2110,441,1160,441,1
19,White Wine,5,951,1416,2121,465,1170,465,1
20,White Wine,5,1001,1478,2182,477,1181,477,1
10,Margarita,15,501,691,2202,190,1701,190,3
21,Beer,5,1051,1554,2238,503,1187,503,1
22,Beer,5,1101,1605,2299,504,1198,504,1
16,Martini,20,801,1110,2325,309,1524,309,2
0,Draft Beer,10,888,1238,2543,350,1655,350,2
29,White Wine,5,1451,2126,2755,675,1304,675,1
6,Margarita,15,761,1049,2877,288,2116,288,3
20,Vodka shot,20,2332,2958,2979,626,647,626,0
17,Bloody Mary,10,851,1187,3171,336,2320,336,3
7,White Wine,5,1846,2507,3233,661,1387,661,1
3,B52,20,151,151,3284,0,3133,0,9
18,Bloody Mary,10,901,1314,3350,413,2449,413,3
27,Martini,20,1351,1994,3375,643,2024,643,2
2,Pina Colada,20,648,895,3401,247,2753,247,4
28,Draft Beer,10,1401,2065,3442,664,2041,664,2
15,Pina Colada,20,751,1023,3543,272,2792,272,4
19,White Wine,5,2271,2882,3553,611,1282,611,1
21,White Wine,5,2338,2984,3690,646,1352,646,1
23,Mojito,15,1151,1665,3710,514,2559,514,3
1,Draft Beer,10,1736,2381,3776,645,2040,645,2
12,Pina Colada,20,868,1212,3852,344,2984,344,4
25,Cosmopolitan,5,1251,1817,3862,566,2611,566,3
26,Bloody Mary,10,1301,1918,3928,617,2627,617,3
0,Red Wine,5,2643,3314,3964,671,1321,671,1
7,Vodka shot,20,3383,3969,3989,586,606,586,0
5,Draft Beer,10,2074,2700,4004,626,1930,626,2
29,Gin and Tonic,20,2906,3558,4207,652,1301,652,1
10,Martini,20,2282,2908,4232,626,1950,626,2
14,Cosmopolitan,5,1623,2268,4242,645,2619,645,3
6,Cider,5,2958,3634,4252,676,1294,676,1
15,Tequila shot,20,3663,4258,4278,595,615,595,0
