PatronID,DrinkName,ExecutionTime,ArrivalTime,StartTime,CompletionTime,WaitingTime,TurnaroundTime,ResponseTime,SwitchCount
0,White Wine,25,1,1,26,0,25,0,0
1,Cider,25,50,50,75,0,25,0,0
2,Cider,25,100,100,125,0,25,0,0
1,Tequila shot,20,176,205,226,29,50,29,0
4,White Wine,25,200,286,312,86,112,86,0
1,Red Wine,25,229,428,454,199,225,199,0
0,Bloody Mary,20,177,231,534,54,357,54,1
6,Beer,25,300,540,565,240,265,240,0
7,Beer,25,350,570,595,220,245,220,0
8,Gin and Tonic,40,400,656,696,256,296,256,0
2,Martini,10,226,373,712,147,486,147,1
10,Beer,25,500,828,853,328,353,328,0
5,Martini,10,250,459,869,209,619,209,1
11,Gin and Tonic,40,550,874,914,324,364,324,0
12,Tequila shot,20,600,919,939,319,339,319,0
3,B52,50,150,150,1106,0,956,0,3
6,White Wine,25,665,1111,1136,446,471,446,0
14,Cider,25,700,1253,1278,553,578,553,0
9,Mojito,25,450,717,1364,267,914,267,1
16,Gin and Tonic,40,800,1369,1410,569,610,569,0
4,Margarita,25,462,773,1551,311,1089,311,1
17,Draft Beer,50,850,1556,1606,706,756,706,0
18,Gin and Tonic,40,900,1612,1652,712,752,712,0
19,Gin and Tonic,40,950,1712,1753,762,803,762,0
10,White Wine,25,953,1758,1783,805,830,805,0
5,White Wine,25,979,1788,1813,809,834,809,0
1,Pina Colada,50,604,944,1869,340,1265,340,1
20,Beer,25,1000,1874,1899,874,899,874,0
11,Beer,25,1024,1904,1930,880,906,880,0
0,Pina Colada,50,685,1142,2263,457,1578,457,1
7,Margarita,25,696,1197,2349,501,1653,501,1
26,Draft Beer,50,1300,2465,2516,1165,1216,1165,0
15,Martini,10,750,1283,2531,533,1781,533,1
27,White Wine,25,1350,2536,2562,1186,1212,1186,0
28,Draft Beer,50,1400,2622,2673,1222,1273,1222,0
29,White Wine,25,1450,2678,2703,1228,1253,1228,0
8,Bloody Mary,20,807,1415,2729,608,1922,608,1
9,Draft Beer,50,1474,2734,2784,1260,1310,1260,0
2,Pina Colada,50,822,1470,2895,648,2073,648,1
17,White Wine,25,1707,2956,2981,1249,1274,1249,0
12,Bloody Mary,20,943,1657,3007,714,2064,714,1
19,Vodka shot,20,1863,3068,3088,1205,1225,1205,0
10,White Wine,25,1933,3093,3118,1160,1185,1160,0
20,Red Wine,25,1999,3290,3315,1291,1316,1291,0
11,Gin and Tonic,40,2030,3320,3361,1290,1331,1290,0
21,Mojito,25,1050,1990,3391,940,2341,940,1
22,Pina Colada,50,1100,2046,3446,946,2346,946,1
3,Pina Colada,50,1116,2101,3501,985,2385,985,1
23,Cosmopolitan,15,1150,2157,3522,1007,2372,1007,1
0,Cider,25,2383,3582,3607,1199,1224,1199,0
25,Bloody Mary,20,1250,2354,3632,1104,2382,1104,1
7,Draft Beer,50,2430,3638,3688,1208,1258,1208,0
