PatronID,DrinkName,ExecutionTime,ArrivalTime,StartTime,CompletionTime,WaitingTime,TurnaroundTime,ResponseTime,SwitchCount
0,White Wine,25,1,1,27,0,26,0,0
1,Cider,25,50,50,75,0,25,0,0
2,Cider,25,100,100,125,0,25,0,0
1,Tequila shot,20,175,231,251,56,76,56,0
0,Bloody Mary,70,177,256,326,79,149,79,0
4,White Wine,25,200,331,357,131,157,131,0
2,Martini,60,226,443,506,217,280,217,0
5,Red Wine,25,250,511,537,261,287,261,0
1,Martini,60,254,542,602,288,348,288,0
6,Beer,25,300,607,632,307,332,307,0
7,Beer,25,350,638,663,288,313,288,0
8,Gin and Tonic,40,400,668,708,268,308,268,0
3,B52,50,150,150,763,0,613,0,2
9,Mojito,75,450,769,844,319,394,319,0
0,Margarita,75,477,849,924,372,447,372,0
10,Beer,25,502,930,955,428,453,428,0
4,Gin and Tonic,40,508,960,1000,452,492,452,0
11,Tequila shot,20,550,1006,1026,456,476,456,0
13,White Wine,25,650,1192,1218,542,568,542,0
14,Margarita,75,700,1303,1379,603,679,603,0
1,Cider,25,712,1384,1409,672,697,672,0
6,Martini,60,733,1415,1475,682,742,682,0
15,Gin and Tonic,40,750,1480,1520,730,770,730,0
7,Bloody Mary,70,763,1525,1596,762,833,762,0
16,Draft Beer,50,800,1682,1732,882,932,882,0
8,Gin and Tonic,40,818,1737,1777,919,959,919,0
17,Bloody Mary,70,850,1783,1853,933,1003,933,0
18,Gin and Tonic,40,900,1858,1898,958,998,958,0
19,White Wine,25,950,1904,1929,954,979,954,0
9,White Wine,25,954,1934,1960,980,1006,980,0
20,Beer,25,1000,1965,1990,965,990,965,0
0,Beer,25,1005,1995,2021,990,1016,990,0
11,Mojito,75,1029,2026,2101,997,1072,997,0
22,Cosmopolitan,65,1100,2267,2333,1167,1233,1167,0
12,Pina Colada,25,600,1031,2363,431,1763,431,1
23,Bloody Mary,70,1150,2449,2520,1299,1370,1299,0
24,Martini,60,1200,2605,2666,1405,1466,1405,0
25,Draft Beer,50,1250,2671,2721,1421,1471,1421,0
5,Pina Colada,25,687,1223,2752,536,2065,536,1
26,White Wine,25,1300,2757,2782,1457,1482,1457,0
27,Cosmopolitan,65,1350,2788,2853,1438,1503,1438,0
13,Draft Beer,50,1368,2858,2909,1490,1541,1490,0
28,White Wine,25,1400,2914,2939,1514,1539,1514,0
29,Draft Beer,50,1450,2944,2994,1494,1544,1494,0
6,White Wine,25,1585,3161,3186,1576,1601,1576,0
15,Martini,60,1630,3191,3252,1561,1622,1561,0
3,Pina Colada,25,774,1601,3282,827,2508,827,1
7,Vodka shot,20,1746,3288,3308,1542,1562,1542,0
16,White Wine,25,1832,3313,3338,1481,1506,1481,0
8,Bloody Mary,70,1888,3344,3414,1456,1526,1456,0
18,Red Wine,25,2009,3500,3525,1491,1516,1491,0
19,Gin and Tonic,40,2079,3531,3571,1452,1492,1452,0
20,Cider,25,2091,3576,3601,1485,1510,1485,0
9,Draft Beer,50,2110,3607,3657,1497,1547,1497,0
21,Pina Colada,25,1050,2106,3768,1056,2718,1056,1
11,Beer,25,2211,3773,3798,1562,1587,1562,0
10,Pina Colada,25,1055,2187,3829,1132,2774,1132,1
22,Vodka shot,20,2383,3834,3854,1451,1471,1451,0
2,B52,50,616,1112,4070,496,3454,496,2
24,Martini,60,2776,4156,4216,1380,1440,1380,0
25,Red Wine,25,2822,4222,4247,1400,1425,1400,0
5,Tequila shot,20,2872,4252,4272,1380,1400,1380,0
27,Cosmopolitan,65,2903,4278,4343,1375,1440,1375,0
26,Bloody Mary,70,2933,4348,4418,1415,1485,1415,0
13,Margarita,75,3009,4424,4499,1415,1490,1415,0
14,Pina Colada,25,1459,3000,4529,1541,3070,1541,1
29,Red Wine,25,3095,4615,4640,1520,1545,1520,0
1,Pina Colada,25,1510,3080,4671,1570,3161,1570,1
6,Martini,60,3337,4757,4817,1420,1480,1420,0
15,Margarita,75,3362,4822,4898,1460,1536,1460,0
3,Bloody Mary,70,3403,4903,4973,1500,1570,1500,0
16,White Wine,25,3489,4979,5004,1490,1515,1490,0
