PatronID,DrinkName,ExecutionTime,ArrivalTime,StartTime,CompletionTime,WaitingTime,TurnaroundTime,ResponseTime,SwitchCount
0,White Wine,25,1,1,26,0,25,0,0
1,Cider,25,50,51,76,1,26,1,0
2,Cider,25,100,100,126,0,26,0,0
1,Tequila shot,20,176,256,276,80,100,80,0
0,Bloody Mary,70,177,281,351,104,174,104,0
4,White Wine,25,200,357,382,157,182,157,0
2,Martini,60,226,387,447,161,221,161,0
5,Red Wine,25,250,452,478,202,228,202,0
3,B52,100,150,151,583,1,433,1,1
1,Martini,60,279,588,648,309,369,309,0
6,Beer,25,300,654,679,354,379,354,0
7,Beer,25,350,684,709,334,359,334,0
8,Gin and Tonic,40,400,714,755,314,355,314,0
9,Mojito,75,450,760,835,310,385,310,0
10,Margarita,75,500,840,915,340,415,340,0
0,Beer,25,502,920,946,418,444,418,0
4,Gin and Tonic,40,532,951,991,419,459,419,0
11,Tequila shot,20,550,996,1016,446,466,446,0
2,Pina Colada,100,558,1022,1122,464,564,464,0
12,White Wine,25,600,1232,1258,632,658,632,0
5,Pina Colada,100,628,1263,1363,635,735,635,0
13,Margarita,75,650,1368,1443,718,793,718,0
14,Cider,25,700,1449,1474,749,774,749,0
15,Martini,60,750,1479,1539,729,789,729,0
1,Gin and Tonic,40,759,1544,1585,785,826,785,0
6,Bloody Mary,70,779,1590,1660,811,881,811,0
16,Pina Colada,100,800,1665,1765,865,965,865,0
7,Draft Beer,50,809,1771,1821,962,1012,962,0
17,Gin and Tonic,40,850,1826,1866,976,1016,976,0
8,Bloody Mary,70,865,1871,1942,1006,1077,1006,0
18,Gin and Tonic,40,900,1947,1987,1047,1087,1047,0
9,White Wine,25,945,1992,2018,1047,1073,1047,0
19,White Wine,25,950,2023,2048,1073,1098,1073,0
10,Beer,25,995,2053,2078,1058,1083,1058,0
20,Beer,25,1000,2083,2109,1083,1109,1083,0
11,Mojito,75,1020,2114,2189,1094,1169,1094,0
0,Pina Colada,100,1046,2194,2294,1148,1248,1148,0
21,Pina Colada,100,1050,2299,2400,1249,1350,1249,0
22,Cosmopolitan,65,1100,2405,2470,1305,1370,1305,0
23,Bloody Mary,70,1151,2581,2651,1430,1500,1430,0
24,Martini,60,1201,2656,2717,1455,1516,1455,0
3,B52,100,593,1127,2822,534,2229,534,1
2,Draft Beer,50,1242,2827,2878,1585,1636,1585,0
25,White Wine,25,1251,2883,2908,1632,1657,1632,0
26,Cosmopolitan,65,1301,2913,2978,1612,1677,1612,0
27,Draft Beer,50,1351,2984,3034,1633,1683,1633,0
28,White Wine,25,1401,3039,3065,1638,1664,1638,0
12,Draft Beer,50,1408,3070,3120,1662,1712,1662,0
29,Pina Colada,100,1451,3125,3225,1674,1774,1674,0
5,Pina Colada,100,1483,3231,3331,1748,1848,1748,0
13,White Wine,25,1524,3336,3362,1812,1838,1812,0
14,Martini,60,1574,3367,3427,1793,1853,1793,0
15,Vodka shot,20,1650,3433,3453,1783,1803,1783,0
1,White Wine,25,1695,3458,3484,1763,1789,1763,0
6,Bloody Mary,70,1810,3489,3559,1679,1749,1679,0
16,Pina Colada,100,1886,3564,3665,1678,1779,1678,0
7,Red Wine,25,1921,3670,3695,1749,1774,1749,0
17,Gin and Tonic,40,1977,3700,3741,1723,1764,1723,0
8,Cider,25,2092,3746,3771,1654,1679,1654,0
18,Draft Beer,50,2097,3776,3827,1679,1730,1679,0
10,Beer,25,2178,3937,3963,1759,1785,1759,0
19,Vodka shot,20,2198,3968,3988,1770,1790,1770,0
0,Martini,60,2415,4204,4265,1789,1850,1789,0
21,Red Wine,25,2520,4270,4295,1750,1775,1750,0
22,Tequila shot,20,2520,4301,4321,1781,1801,1781,0
4,B52,100,1101,2475,4426,1374,3325,1374,1
23,Cosmopolitan,65,2801,4432,4497,1631,1696,1631,0
24,Bloody Mary,70,2827,4502,4573,1675,1746,1675,0
3,Margarita,75,2832,4578,4653,1746,1821,1746,0
2,Pina Colada,100,2978,4658,4759,1680,1781,1680,0
26,Red Wine,25,3029,4764,4789,1735,1760,1735,0
25,Pina Colada,100,3058,4794,4895,1736,1837,1736,0
27,Martini,60,3134,4900,4960,1766,1826,1766,0
28,Margarita,75,3215,4966,5041,1751,1826,1751,0
12,Bloody Mary,70,3221,5046,5117,1825,1896,1825,0
29,White Wine,25,3346,5122,5147,1776,1801,1776,0
5,Cider,25,3452,5152,5178,1700,1726,1700,0
15,Tequila shot,20,3456,5183,5203,1727,1747,1727,0
13,Red Wine,25,3512,5209,5234,1697,1722,1697,0
14,Martini,60,3538,5239,5299,1701,1761,1701,0
6,Beer,25,3709,5305,5330,1596,1621,1596,0
16,Draft Beer,50,3785,5335,5385,1550,1600,1550,0
7,Cider,25,3846,5391,5416,1545,1570,1545,0
17,Cosmopolitan,65,3851,5421,5486,1570,1635,1570,0
8,Cosmopolitan,65,3872,5492,5557,1620,1685,1620,0
18,Martini,60,3927,5562,5622,1635,1695,1635,0
9,B52,100,2168,3832,5728,1664,3560,1664,1
19,Red Wine,25,3992,5733,5758,1741,1766,1741,0
10,Mojito,75,4063,5763,5839,1700,1776,1700,0
20,B52,100,2209,3993,5944,1784,3735,1784,1
11,B52,100,2299,4099,6050,1800,3751,1800,1
22,Gin and Tonic,40,4324,6055,6095,1731,1771,1731,0
4,Cider,25,4437,6101,6126,1664,1689,1664,0
21,Tequila shot,20,4446,6131,6151,1685,1705,1685,0
24,Cider,25,4723,6262,6287,1539,1564,1539,0
3,Cosmopolitan,65,4734,6293,6358,1559,1624,1559,0
26,Gin and Tonic,40,4940,6363,6404,1423,1464,1423,0
