PatronID,DrinkName,ExecutionTime,ArrivalTime,StartTime,CompletionTime,WaitingTime,TurnaroundTime,ResponseTime,SwitchCount
0,White Wine,25,1,1,26,0,25,0,0
1,Cider,25,50,50,76,0,26,0,0
2,Cider,25,100,100,126,0,26,0,0
1,Tequila shot,20,176,186,206,10,30,10,0
4,White Wine,25,200,282,307,82,107,82,0
2,Red Wine,25,226,348,373,122,147,122,0
6,Beer,25,300,484,509,184,209,184,0
1,Martini,30,209,312,545,103,336,103,1
7,Beer,25,350,550,575,200,225,200,0
0,Bloody Mary,10,177,211,626,34,449,34,2
5,Martini,30,250,413,661,163,411,163,1
10,Beer,25,500,773,798,273,298,273,0
11,Tequila shot,20,550,839,860,289,310,289,0
8,Gin and Tonic,10,400,580,946,180,546,180,1
13,White Wine,25,651,951,976,300,325,300,0
14,Cider,25,700,1088,1114,388,414,388,0
2,Gin and Tonic,10,523,804,1342,281,819,281,1
19,White Wine,25,950,1560,1586,610,636,610,0
20,White Wine,25,1001,1591,1616,590,615,590,0
21,Beer,25,1051,1692,1718,641,667,641,0
8,Beer,25,1056,1723,1748,667,692,667,0
9,Mojito,15,450,667,1769,217,1319,217,2
4,Margarita,15,458,702,1860,244,1402,244,2
15,Martini,30,751,1155,1931,404,1180,404,1
5,Gin and Tonic,10,772,1226,2088,454,1316,454,1
17,Draft Beer,20,850,1347,2255,497,1405,497,1
28,White Wine,25,1401,2260,2286,859,885,859,0
11,Gin and Tonic,10,863,1383,2301,520,1438,520,1
18,Gin and Tonic,10,900,1490,2458,590,1558,590,1
7,Margarita,15,676,1017,2550,341,1874,341,2
19,White Wine,25,1736,2555,2580,819,844,819,0
9,White Wine,25,1879,2763,2788,884,909,884,0
3,B52,20,150,150,2956,0,2806,0,6
15,Vodka shot,20,2041,2961,2981,920,940,920,0
0,Bloody Mary,10,776,1261,3032,485,2256,485,2
26,Martini,30,1300,2129,3068,829,1768,829,1
5,White Wine,25,2198,3108,3133,910,935,910,0
27,Draft Beer,20,1350,2200,3159,850,1809,850,1
12,Pina Colada,10,600,865,3174,265,2574,265,3
2,Draft Beer,20,1453,2377,3270,924,1817,924,1
28,Red Wine,25,2436,3311,3336,875,900,875,0
10,Bloody Mary,10,899,1454,3352,555,2453,555,2
1,Pina Colada,10,655,982,3403,327,2748,327,3
20,Draft Beer,20,1767,2586,3464,819,1697,819,1
7,Cider,25,2630,3469,3494,839,864,839,0
22,Mojito,15,1100,1774,3515,674,2415,674,2
4,Martini,30,1940,2829,3728,889,1788,889,1
24,Cosmopolitan,5,1201,1936,3738,735,2537,735,2
3,Beer,25,2966,3815,3840,849,874,849,0
15,Vodka shot,20,2985,3845,3865,860,880,860,0
25,Bloody Mary,10,1251,2042,3881,791,2630,791,2
16,Pina Colada,10,800,1297,3896,497,3096,497,3
29,Cosmopolitan,5,1450,2342,4012,892,2562,892,2
5,Red Wine,25,3284,4053,4078,769,794,769,0
12,Tequila shot,20,3295,4083,4104,788,809,788,0
18,Gin and Tonic,10,2568,3408,4225,840,1657,840,1
20,Red Wine,25,3564,4371,4396,807,832,807,0
13,Pina Colada,10,1127,1809,4411,682,3284,682,3
19,Draft Beer,20,2731,3591,4472,860,1741,860,1
23,Pina Colada,10,1150,1865,4558,715,3408,715,3
15,White Wine,25,3869,4705,4730,836,861,836,0
3,Cider,25,3940,4771,4796,831,856,831,0
17,Bloody Mary,10,2356,3179,4847,823,2491,823,2
16,Tequila shot,20,4016,4852,4872,836,856,836,0
25,Red Wine,25,4031,4878,4903,847,872,847,0
27,Martini,30,3259,4018,4938,759,1679,759,1
12,Beer,25,4107,4979,5004,872,897,872,0
18,Cider,25,4335,5257,5282,922,947,922,0
21,Pina Colada,10,1818,2657,5298,839,3480,839,3
22,Martini,30,3625,4477,5369,852,1744,852,1
8,Pina Colada,10,1849,2727,5419,878,3570,878,3
23,Red Wine,25,4679,5601,5627,922,948,922,0
3,Cider,25,4897,5809,5834,912,937,912,0
29,Martini,30,4063,4943,5870,880,1807,880,1
17,Tequila shot,20,4997,5875,5896,878,899,878,0
11,Pina Colada,10,2412,3276,5911,864,3499,864,3
25,Cider,25,5053,5951,5977,898,924,898,0
2,Cosmopolitan,5,3371,4144,5987,773,2616,773,2
6,B52,20,610,900,6048,290,5438,290,6
5,Draft Beer,20,4228,5115,6073,887,1845,887,1
28,Bloody Mary,10,3487,4230,6089,743,2602,743,2
10,Margarita,15,3502,4265,6109,763,2607,763,2
19,Martini,30,4572,5460,6392,888,1820,888,1
8,Tequila shot,20,5540,6433,6453,893,913,893,0
24,Margarita,15,3788,4599,6473,811,2685,811,2
4,Bloody Mary,10,3838,4670,6524,832,2686,832,2
15,Gin and Tonic,10,4881,5774,6682,893,1801,893,1
3,Red Wine,25,5935,6722,6748,787,813,787,0
11,Vodka shot,20,6031,6859,6880,828,849,828,0
1,Pina Colada,10,3523,4300,6966,777,3443,777,3
7,Pina Colada,10,3595,4416,6981,821,3386,821,3
18,Gin and Tonic,10,5383,6185,7032,802,1649,802,1
28,Beer,25,6239,7037,7063,798,824,798,0
13,Cosmopolitan,5,4532,5374,7073,842,2541,842,2
20,Cosmopolitan,5,4546,5425,7119,879,2573,879,2
14,B52,20,1214,1971,7179,757,5965,757,6
19,Red Wine,25,6502,7220,7245,718,743,718,0
16,Mojito,15,4876,5738,7408,862,2532,862,2
4,Vodka shot,20,6674,7448,7468,774,794,774,0
29,Martini,30,5980,6788,7575,808,1595,808,1
12,Cosmopolitan,5,5104,5992,7585,888,2481,888,2
