PatronID,DrinkName,ExecutionTime,ArrivalTime,StartTime,CompletionTime,WaitingTime,TurnaroundTime,ResponseTime,SwitchCount
0,White Wine,25,1,1,26,0,25,0,0
1,Cider,25,51,51,76,0,25,0,0
2,Cider,25,101,101,126,0,25,0,0
3,B52,200,151,151,351,0,200,0,0
1,Tequila shot,20,176,356,376,180,200,180,0
7,Beer,25,351,382,407,31,56,31,0
5,Red Wine,25,251,412,437,161,186,161,0
4,White Wine,25,201,443,468,242,267,242,0
3,Beer,25,361,473,498,112,137,112,0
10,Beer,25,501,503,529,2,28,2,0
1,Gin and Tonic,40,380,534,574,154,194,154,0
11,Tequila shot,20,551,579,599,28,48,28,0
12,White Wine,25,601,605,630,4,29,4,0
10,Cider,25,629,635,660,6,31,6,0
7,Gin and Tonic,40,507,665,706,158,199,158,0
1,Gin and Tonic,40,684,711,751,27,67,27,0
2,Martini,60,226,756,817,530,591,530,0
12,Gin and Tonic,40,780,822,862,42,82,42,0
17,White Wine,25,851,867,892,16,41,16,0
1,White Wine,25,861,898,923,37,62,37,0
18,Beer,25,901,928,953,27,52,27,0
2,Beer,25,927,959,984,32,57,32,0
7,Gin and Tonic,40,816,989,1029,173,213,173,0
10,Draft Beer,50,760,1035,1085,275,325,275,0
13,Martini,60,651,1090,1150,439,499,439,0
7,White Wine,25,1140,1156,1181,16,41,16,0
22,Draft Beer,50,1101,1186,1236,85,135,85,0
24,White Wine,25,1201,1242,1267,41,66,41,0
10,Draft Beer,50,1185,1272,1322,87,137,87,0
25,Draft Beer,50,1251,1328,1378,77,127,77,0
27,Vodka shot,20,1351,1383,1403,32,52,32,0
7,White Wine,25,1331,1408,1434,77,103,77,0
28,White Wine,25,1401,1439,1464,38,63,38,0
10,Red Wine,25,1423,1469,1494,46,71,46,0
25,Cider,25,1478,1499,1525,21,47,21,0
29,Gin and Tonic,40,1451,1530,1570,79,119,79,0
2,Martini,60,1084,1575,1635,491,551,491,0
28,Draft Beer,50,1614,1641,1691,27,77,27,0
29,Beer,25,1680,1696,1721,16,41,16,0
22,Martini,60,1337,1726,1786,389,449,389,0
2,Vodka shot,20,1746,1792,1812,46,66,46,0
6,Martini,60,301,1817,1877,1516,1576,1516,0
17,Cosmopolitan,65,1043,1883,1948,840,905,840,0
22,Martini,60,1897,1953,2013,56,116,56,0
17,Tequila shot,20,1998,2019,2039,21,41,21,0
6,Red Wine,25,1988,2044,2069,56,81,56,0
23,Cosmopolitan,65,1151,2075,2140,924,989,924,0
17,Cosmopolitan,65,2042,2145,2210,103,168,103,0
18,Bloody Mary,70,1054,2216,2286,1162,1232,1162,0
17,Red Wine,25,2261,2291,2316,30,55,30,0
22,Bloody Mary,70,2124,2322,2392,198,268,198,0
0,Bloody Mary,70,177,2397,2467,2220,2290,2220,0
14,Bloody Mary,70,701,2473,2543,1772,1842,1772,0
22,Martini,60,2542,2548,2608,6,66,6,0
27,Bloody Mary,70,1407,2614,2684,1207,1277,1207,0
16,Bloody Mary,70,801,2689,2759,1888,1958,1888,0
14,Bloody Mary,70,2693,2765,2835,72,142,72,0
27,White Wine,25,2834,2840,2865,6,31,6,0
23,Margarita,75,2190,2871,2946,681,756,681,0
16,Cider,25,2910,2951,2977,41,67,41,0
8,Mojito,75,401,2982,3057,2581,2656,2581,0
14,Tequila shot,20,2985,3062,3083,77,98,77,0
27,Red Wine,25,3016,3088,3113,72,97,72,0
16,Beer,25,3077,3119,3144,42,67,42,0
14,Draft Beer,50,3086,3149,3199,63,113,63,0
8,Cider,25,3168,3205,3230,37,62,37,0
23,Martini,60,3026,3235,3295,209,269,209,0
14,Martini,60,3300,3301,3361,1,61,1,0
8,Red Wine,25,3330,3366,3391,36,61,36,0
16,Cosmopolitan,65,3244,3397,3462,153,218,153,0
27,Cosmopolitan,65,3264,3467,3533,203,269,203,0
16,Gin and Tonic,40,3512,3538,3578,26,66,26,0
8,Cider,25,3542,3583,3609,41,67,41,0
19,Mojito,75,951,3614,3689,2663,2738,2663,0
0,Margarita,75,2618,3694,3769,1076,1151,1076,0
8,Tequila shot,20,3709,3775,3795,66,86,66,0
23,Mojito,75,3406,3800,3875,394,469,394,0
0,Cider,25,3850,3881,3906,31,56,31,0
4,Margarita,75,618,3911,3986,3293,3368,3293,0
23,Cosmopolitan,65,3986,3992,4057,6,71,6,0
0,Gin and Tonic,40,4006,4062,4102,56,96,56,0
9,Margarita,75,451,4107,4183,3656,3732,3656,0
4,Margarita,75,4067,4188,4263,121,196,121,0
12,Pina Colada,100,972,4268,4369,3296,3397,3296,0
4,Tequila shot,20,4344,4374,4394,30,50,30,0
4,Bloody Mary,70,4397,4399,4470,2,73,2,0
15,Pina Colada,100,751,4475,4575,3724,3824,3724,0
12,Mojito,75,4489,4580,4656,91,167,91,0
11,Pina Colada,100,603,4661,4761,4058,4158,4058,0
15,Red Wine,25,4696,4766,4792,70,96,70,0
12,Martini,60,4766,4797,4857,31,91,31,0
18,Pina Colada,100,2436,4863,4963,2427,2527,2427,0
11,Vodka shot,20,4882,4968,4988,86,106,86,0
15,Cosmopolitan,65,4942,4993,5059,51,117,51,0
11,Margarita,75,4991,5064,5139,73,148,73,0
15,Beer,25,5109,5144,5169,35,60,35,0
18,Bloody Mary,70,5083,5175,5245,92,162,92,0
11,Margarita,75,5219,5250,5326,31,107,31,0
